Code	Object	Category	Roles	Type	Name		Signature	Summary	Docs Date																				
																													
1000	Core	Section						Core library objects and functions.	2022-09-04																				
																													
1001	ServerKit	Object						The ServerKit Library																					
1002	ServerKit	General	n/a	Sync	NewServer		( ApplicationName, ApplicationPath, ServerOptions )	Returns a new Server object.	2022-09-04																				
																													
1100	Log	Object						Logging functions.																					
1110	Log	Logging	n/a		debug		( Message )	Outputs a (d)ebug message.																					
1111	Log	Logging	n/a		trace		( Message )	Outputs a (t)race message.																					
1112	Log	Logging	n/a		info		( Message )	Outputs an (i)nformational message.																					
1113	Log	Logging	n/a		warn		( Message )	Outputs a (w)arning message.																					
1114	Log	Logging	n/a		error		( Message )	Outputs an (e)rror message.																					
1115	Log	Logging	n/a		fatal		( Message )	Outputs a (f)atal error message.																					
																													
1200	TaskManager	Object						Manage scheduled tasks.																					
1210	TaskManager	Tasks	n/a	Sync	ScheduleTask		( TaskName, TaskCron, InvokeFunction )	Schedules or unschedules a task.																					
1220	TaskManager	Tasks	n/a	Sync	StopAllTasks		( )	Unschedules and stops all tasks.																					
																													
1300	ServerModule	Object						A "base class" for developing server modules.																					
1310	ServerModule	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
1311	ServerModule	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
1312	ServerModule	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
																													
1400	ApplicationService	Object						A "base class" for developing application services.																					
1410	ApplicationService	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
1411	ApplicationService	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
1412	ApplicationService	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
																													
1500	StorageService	Object						A "base class" for developing user storage services.																					
1511	StorageService	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
1512	StorageService	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
1513	StorageService	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
1514	StorageService	Storage Control	n/a	Sync	InitializeStorage		( )	Perform any one-time initialization for the storage. Must be called by InitializeModule.																					
1515	StorageService	Storage Control	n/a	Sync	StartupStorage		( )	Start the storage. Must be called by StartupModule.																					
1516	StorageService	Storage Control	n/a	Sync	ShutdownStorage		( )	Shut down the storage. Must be called by ShutdownModule.																					
1520	StorageService	Internal	n/a	Async	NewStorageItem		( User, Prototype )	Initializes a new data item based upon the service's Item definition.																					
1521	StorageService	Service Call	admin, super, user	Async	StorageCount		( User, Criteria )	Returns the number of objects that match the Criteria.																					
1522	StorageService	Service Call	admin, super, user	Async	StorageFindOne		( User, Criteria )	Returns the first object that matches the Criteria.																					
1523	StorageService	Service Call	admin, super, user	Async	StorageFindMany		( User, Criteria )	Returns all objects that match the Criteria.																					
1524	StorageService	Service Call	admin, super, user	Async	StorageCreateOne		( User, Prototype )	Create and store a new object for the User.																					
1525	StorageService	Service Call	admin, super, user	Async	StorageWriteOne		( User, Criteria, DataObject )	Update an existing object that matches the Criteria.																					
1526	StorageService	Service Call	admin, super, user	Async	StorageDeleteOne		( User, Criteria )	Deletes the first object that matches the Criteria.																					
